scenario,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
simple,flash,240789.68,1.725,0.606,4.898,10.449,28217.35
simple,gin,231238.91,1.847,0.580,5.494,11.073,27099.12
simple,gofiber,209454.31,3.129,0.571,5.866,51.395,24545.29
param,flash,245936.72,1.717,0.603,4.862,10.632,29300.73
param,gin,236174.37,1.828,0.571,5.430,10.979,28138.49
param,gofiber,211308.97,2.947,0.560,6.103,45.167,25177.09
context,flash,266942.49,1.590,0.657,4.222,10.807,51353.61
context,gin,245707.98,1.744,0.615,4.882,10.994,35990.53
context,gofiber,210511.85,3.248,0.558,6.522,51.894,30836.73
json,flash,248512.70,1.908,0.733,5.139,14.163,28637.19
json,gin,250514.37,1.977,0.722,5.379,15.119,28868.60
json,gofiber,220173.35,4.078,0.519,12.035,49.570,25370.61
wildcard,flash,256240.41,1.756,0.631,4.849,11.844,34283.52
wildcard,gin,246912.93,1.919,0.597,5.513,12.878,33034.25
wildcard,gofiber,219208.35,4.621,0.463,10.882,75.080,29112.32
groups,flash,245209.60,1.752,0.606,4.938,11.088,28735.49
groups,gin,236019.16,1.858,0.573,5.494,11.372,27659.27
groups,gofiber,211389.99,3.524,0.545,7.064,58.542,24771.57
deepgroups,flash,255915.31,1.757,0.614,4.891,11.649,29991.95
deepgroups,gin,240738.51,1.842,0.568,5.421,11.507,28211.20
deepgroups,gofiber,211548.44,3.331,0.535,6.903,53.098,24793.07
middleware,flash,266754.70,1.592,0.649,4.246,10.620,43763.72
middleware,gin,246655.08,1.722,0.608,4.860,10.687,34927.61
middleware,gofiber,210848.29,3.364,0.549,6.887,53.563,29857.79
mw10,flash,249789.31,1.709,0.595,4.858,10.584,29271.05
mw10,gin,239320.27,1.841,0.562,5.470,11.286,28045.31
mw10,gofiber,212473.09,3.399,0.528,7.519,52.622,30086.15
